Cluster,Percentage,Dataset
1,25.4155989425224,1.3 M cells
2,15.0387366619019,1.3 M cells
3,9.04506223361128,1.3 M cells
4,8.44910181016088,1.3 M cells
5,8.0511313218393,1.3 M cells
6,6.73816558420429,1.3 M cells
7,6.43796506771547,1.3 M cells
8,6.17642847900702,1.3 M cells
9,3.95535809304914,1.3 M cells
10,3.78378212838415,1.3 M cells
11,1.60727096216524,1.3 M cells
12,1.51700408918888,1.3 M cells
13,1.16902873916549,1.3 M cells
14,0.895548442073397,1.3 M cells
15,0.852673591465455,1.3 M cells
16,0.423006338587289,1.3 M cells
17,0.385720531005025,1.3 M cells
18,0.045095155371568,1.3 M cells
19,0.009417154687102,1.3 M cells
20,0.003904673894652,1.3 M cells
1,25.4359450222337,653 K cells
2,15.0055737263117,653 K cells
3,9.02331165092548,653 K cells
4,8.40591427486433,653 K cells
5,8.03091274362084,653 K cells
6,6.74696507539843,653 K cells
7,6.44806634571803,653 K cells
8,6.19893302953462,653 K cells
9,3.97127999706001,653 K cells
10,3.80743694339299,653 K cells
11,1.62204623130352,653 K cells
12,1.50352798500606,653 K cells
13,1.18028248379944,653 K cells
14,0.897921183834969,653 K cells
15,0.864233827006235,653 K cells
16,0.420938836009947,653 K cells
17,0.380973380863131,653 K cells
18,0.041956071686695,653 K cells
19,0.009340585302512,653 K cells
20,0.004440606127424,653 K cells
1,25.4223948109062,326 K cells
2,15.0215446619157,326 K cells
3,8.99363307006073,326 K cells
4,8.38695254049386,326 K cells
5,8.02220922362655,326 K cells
6,6.81466690758305,326 K cells
7,6.49004229307478,326 K cells
8,6.17491141729269,326 K cells
9,3.96746403863645,326 K cells
10,3.77697676484009,326 K cells
11,1.5989293512714,326 K cells
12,1.50858570855447,326 K cells
13,1.2032548211349,326 K cells
14,0.899148932260643,326 K cells
15,0.871892714627401,326 K cells
16,0.414662007588866,326 K cells
17,0.378524550502096,326 K cells
18,0.041037451268027,326 K cells
19,0.009187489089857,326 K cells
20,0.003981245272271,326 K cells
1,25.3918476097143,163 K cells
2,14.9977031206934,163 K cells
3,9.05889198542247,163 K cells
4,8.36064067620127,163 K cells
5,8.05194009738768,163 K cells
6,6.861237864821,163 K cells
7,6.58132483998408,163 K cells
8,6.13419900162313,163 K cells
9,3.93531987872477,163 K cells
10,3.79199460998989,163 K cells
11,1.59801549627906,163 K cells
12,1.48164027807552,163 K cells
13,1.17048969466818,163 K cells
14,0.875264141120265,163 K cells
15,0.857501607815515,163 K cells
16,0.396900744188895,163 K cells
17,0.395675741892016,163 K cells
18,0.045325084984534,163 K cells
19,0.010412519523474,163 K cells
20,0.003675006890638,163 K cells
1,25.4786667156665,108 K cells
2,14.9038991584286,108 K cells
3,9.0184116717504,108 K cells
4,8.25677115872258,108 K cells
5,8.02340965050898,108 K cells
6,6.81709602734188,108 K cells
7,6.67469038256588,108 K cells
8,6.21256109661534,108 K cells
9,3.96990187791702,108 K cells
10,3.81095880342508,108 K cells
11,1.63353055749513,108 K cells
12,1.48653118224248,108 K cells
13,1.15945757230532,108 K cells
14,0.856271360846716,108 K cells
15,0.843408915512109,108 K cells
16,0.401492043658814,108 K cells
17,0.392304582705523,108 K cells
18,0.046856050861784,108 K cells
19,0.011024953143949,108 K cells
20,0.002756238285987,108 K cells
